title;sinopsis;main genre;second genre;author;num_page;avg_rating;rating;myrate;date_read;date_added
Harry Potter y la piedra filosofal;Harry Potter se ha quedado huérfano y vive en casa de sus abominables tíos y el insoportable primo Dudley. Se siente muy triste y solo, hasta que un buen día recibe una carta que cambiará su vida para siempre. En ella le comunican que ha sido aceptado como alumno en el Colegio Hogwarts de Magia. A partir de ese momento, la suerte de Harry da un vuelco espectacular. En esa escuela tan especial aprenderá encantamientos, trucos fabulosos y tácticas de defensa contra las malas artes. Se convertirá en el campeón escolar de quidditch, una especie de fútbol aéreo que se juega montado sobre escobas, y hará un puñado de buenos amigos... aunque también algunos temibles enemigos. Pero, sobre todo, conocerá los secretos que le permitirán cumplir con su destino. Pues, aunque no lo parezca a primera vista, Harry no es un chico normal y corriente: ¡es un verdadero mago!;Fantasy;Fiction;Rowling, J.K.;254;4.47;5;it was amazing;not set;Jul 19, 2021
Crescendo;Nora Grey's life is still far from perfect. Surviving an attempt on her life wasn't pleasant, but at least she got a guardian angel out of it. A mysterious, magnetic, gorgeous guardian angel. But despite his role in her life, Patch has been acting anything but angelic. He's more elusive than ever (if that's possible) and what's worse, he seems to be spending time with Nora's archenemy, Marcie Millar.Nora would have hardly noticed Scott Parnell, an old family friend who has moved back to town, if Patch hadn't been acting so distant. Even with Scott's totally infuriating attitude, Nora finds herself drawn to him - despite her lingering feelings that he is hiding something.If that weren't enough, Nora is haunted by images of her murdered father, and comes to question whether her Nephilim bloodline has anything to do with his death. Desperate to figure out what happened, she puts herself in increasingly dangerous situations to get the answer. But maybe some things are better left buried, because the truth could destroy everything - and everyone - she trusts.;Young Adult;Fantasy;Fitzpatrick, Becca;427;3.99;2;it was ok;not set;Jul 19, 2021
Silencio;¿Cuál es el límite de los sentimientos?La confusión se ha disipado y ya no hay nada que perturbe la relación entre Patch y Nora. Han superado los secretos que se escondían en el oscuro pasado de Patch..., han atravesado mundos irreconciliables..., se han enfrentado a pruebas sobrecogedoras de traición, lealtad y confianza..., y todo ello por un amor que trasciende los límites entre el cielo y la tierra. Armados con la fe absoluta que tienen el uno en el otro, Patch y Nora se enfrentan ahora a un villano que pretende acabar con cuanto han luchado por conseguir de una vez y para siempre, incluido su amor.;Young Adult;Fantasy;Fitzpatrick, Becca;416;4.08;2;it was ok;not set;Jul 19, 2021
La selección;"Para treinta y cinco chicas, la Selección es una oportunidad que solo se presenta una vez en la vida. La oportunidad de escapar de la vida que les ha tocado por nacer en una determinada familia. La oportunidad de que las trasladen a un mundo de trajes preciosos y joyas que no tienen precio. La oportunidad de vivir en un palacio y de competir por el corazón del guapísimo príncipe Maxon.Sin embargo, para America Singer, ser seleccionada es una pesadilla porque significa alejarse de su amor secreto, Aspen, quien pertenece a una casta inferior a la de ella; y también abandonar su hogar para pelear por una corona que no desea y vivir en un palacio que está bajo la constante amenaza de ataques violentos por parte de los rebeldes. Es entonces cuando America conoce al príncipe Maxon. Poco a poco, se empieza a cuestionar los planes que ella había hecho para su vida y se da cuenta de que la vida con la que siempre soñó puede no poder compararse con el futuro que nunca se atrevió si quiera a imaginar.";Young Adult;Romance;Cass, Kiera;240;4.09;4;really liked it;not set;Jul 19, 2021
Eleanor & Park;“Bono met his wife in high school,” Park says.“So did Jerry Lee Lewis,” Eleanor answers.“I’m not kidding,” he says.“You should be,” she says, “we’re 16.”“What about Romeo and Juliet?”“Shallow, confused, then dead.”“I love you,” Park says.“Wherefore art thou,” Eleanor answers.“I’m not kidding,” he says.“You should be.”Set over one school year in 1986, Eleanor & Park is the story of two star-crossed misfits – smart enough to know first love almost never lasts, but brave and desperate enough to try.;Young Adult;Romance;Rowell, Rainbow;328;3.96;1;did not like it;not set;Jul 19, 2021
Finale;Nora and Patch thought their troubles were behind them. Hank is gone and they should be able to put his ugly vendetta to rest. But in Hank's absence, Nora has become the unwitting head of the Nephilim and must finish what Hank began. Which ultimately means destroying the fallen angels - destroying Patch.Nora will never let that happen, so she and Patch make a plan: lead everyone to believe they have broken up, and work the system from the inside. Nora will convince the Nephilim that they are making a mistake in fighting the fallen angels, and Patch will find out everything he can from the opposing side. They will end this war before it can even begin.But the best-laid plans often go awry. Nora is put through the paces in her new role and finds herself drawn to an addictive power she never anticipated.As the battle lines are drawn, Nora and Patch must confront the differences that have always been between them and either choose to ignore them or let them destroy the love they have always fought for.;Fantasy;Young Adult;Fitzpatrick, Becca;454;4.13;3;liked it;not set;Jul 19, 2021
La élite;De las treinta y cinco chicas llegaron a Palacio para competir en la Selección. Todas menos seis, han sido devueltas a sus hogares. Y solo una conseguirá casarse con el príncipe Maxon y ser coronada princesa de Illea.America todavía no está segura de hacia dónde se inclina su corazón. El tiempo se acaba y tiene que tomar una decisión. Sin embargo, cuando ya cree que ha llegado a la conclusión definitiva, un suceso devastador hace que se lo vuelva a plantear todo de nuevo.Y mientras lucha por averiguar dónde está su futuro, los rebeldes violentos se hacen cada vez más fuertes.;Young Adult;Romance;Cass, Kiera;224;3.96;4;really liked it;not set;Jul 19, 2021
La elegida;La situación en Palacio es cada vez más peligrosa. Los rebeldes atacan tanto por el norte como por el sur y America, las chicas que siguen en la selección y Maxon se encuentran en verdadero peligro.Mientras esta situación se vuelve cada vez más acuciante, la disyuntiva en la que se encuentra America tampoco es mucho mejor: debe escoger entre su primer amor, Aspen, y el príncipe Maxon, quien poco a poco ha ido conquistándola. Eso sin tener en cuenta que el príncipe debe escogerla a ella también de entre las seis seleccionadas que podrían convertirse en su esposa y que aún permanecen en palacio.Luchas políticas, amor, violencia, dudas… America deberá tomar decisiones que cambiarán el curso no solo de su vida, sino de todo aquel que la rodea. La elegida es el trepidante desenlace de la trilogía La selección.;Romance;Young Adult;Cass, Kiera;256;4.17;4;really liked it;not set;Jul 19, 2021
Never Never: Part Two;“Never forget that I was your first real kiss. Never forget that you’ll be my last. And never stop loving me between all of them. Never stop, Charlie. Never forget.”;Romance;Young Adult;Hoover, Colleen;158;4;4;really liked it;not set;Jan 15, 2022
Never Never: Part Three;New York Times bestselling authors Colleen Hoover and Tarryn Fisher are back with the much-anticipated final installment in the Never Never novella series.Together, Silas Nash and Charlize Wynwood must look deeper into the past to find out who they were and who they want to be. With time ticking down, the couple are in a race to find the answers they need before they lose everything.Can they regain what they once had? And will it restore who they once were?;Romance;Young Adult;Hoover, Colleen;130;3.49;2;it was ok;not set;Jan 15, 2022
The Cruel Prince;This is a previously published cover edition of ISBN 9780316310277. An alternative cover edition for this ISBN can be found here.Of course I want to be like them. They’re beautiful as blades forged in some divine fire. They will live forever.And Cardan is even more beautiful than the rest. I hate him more than all the others. I hate him so much that sometimes when I look at him, I can hardly breathe.Jude was seven when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King.To win a place at the Court, she must defy him–and face the consequences.As Jude becomes more deeply embroiled in palace intrigues and deceptions, she discovers her own capacity for trickery and bloodshed. But as betrayal threatens to drown the Courts of Faerie in violence, Jude will need to risk her life in a dangerous alliance to save her sisters, and Faerie itself.;Fantasy;Young Adult;Black, Holly;370;4.08;4;really liked it;not set;Jul 19, 2021
The Wicked King;The enchanting and bloodthirsty sequel to the New York Times bestselling novel The Cruel Prince.You must be strong enough to strike and strike and strike again without tiring.The first lesson is to make yourself strong.After the jaw-dropping revelation that Oak is the heir to Faerie, Jude must keep her brother safe. To do so, she has bound the wicked king, Cardan, to her, and made herself the power behind the throne. Navigating the constantly shifting political alliances of Faerie would be difficult enough if Cardan were easy to control. But he does everything in his power to humiliate and undermine her even as his fascination with her remains undiminished.When it becomes all too clear that someone close to Jude means to betray her, threatening her own life and the lives of everyone she loves, Jude must uncover the traitor and fight her own complicated feelings for Cardan to maintain control as a mortal in a Faerie world.;Fantasy;Young Adult;Black, Holly;336;4.33;5;it was amazing;not set;Jul 19, 2021
The Queen of Nothing;He will be destruction of the crown and the ruination of the throne.;Fantasy;Young Adult;Black, Holly;300;4.37;4;really liked it;not set;Jul 19, 2021
The Invisible Life of Addie LaRue;France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world.But everything changes when, after nearly 300 years, Addie stumbles across a young man in a hidden bookstore and he remembers her name.;Fantasy;Fiction;Schwab, V.E.;444;4.22;5;it was amazing;not set;Jul 19, 2021
Contigo hasta el final;Él cree en el amor a primera vista. A ella le va a costar un poco más...Sabrina tiene un plan infalible para escapar de su pasado: graduarse, romper moldes en la facultad de Derecho y conseguir un trabajo bien pagado en una prestigiosa firma de abogados. Una noche de pasión (sorprendentemente tierna) es todo lo que puede darle a John Tucker, el rompecorazones que cree en el amor a primera vista.Pero, a veces, una noche es suficiente para cambiar tu vida. Cuando Tucker descubre que Sabrina se ha quedado embarazada, sabe que es el momento de demostrar lo que vale. Si quiere una familia con la chica de sus sueños, tendrá que convencerla de que estará a su lado... hasta el final.;Romance;New Adult;Kennedy, Elle;352;3.96;2;it was ok;not set;Jul 17, 2022
Al final mueren los dos;¿Puede un solo día albergar toda una vida? En un presente alternativo, en el que es posible predecir la muerte con un plazo de veinticuatro horas, Mateo Torrez y Rufus Emeterio acaban de recibir la llamada más temida: la misma que te avisa de que ha llegado tu hora final. En circunstancias normales, es poco probable que Mateo y Rufus se hubieran conocido. Pero sus circunstancias no son normales en absoluto. Porque les quedan, a lo sumo, veinticuatro horas de vida. Y han decidido recurrir a Último Amigo, la aplicación de citas que te permite contactar con alguien dispuesto a compartir tu carga. Mateo y Rufus tienen un día, puede que menos, para disfrutar de su recién nacida amistad. Para descubrir cuán frágiles y preciosos son los hilos que nos unen. Para mostrar al mundo su verdadero yo. La nueva novela de Adam Silvera, un superventas del New York Times que ha cosechado un éxito arrollador por parte de la crítica y los lectores. Un libro emotivo, original y extremo, que aborda la cercanía de la muerte para plasmar magistralmente la fuerza arrolladora de la vida, la amistad y el amor.;Young Adult;LGBT;Silvera, Adam;384;3.81;4;really liked it;not set;Jul 19, 2021
La canción del lobo;Ox nunca tuvo a nadie, hasta que un extraño chico le tendió la mano y lo condujo a un mundo donde lo maravilloso es posible. Le dio un hogar. Una familia. Una manada. Pero allí donde vive lo increíble también lo hacen las pesadillas. Y aunque Ox es solo un humano, muy pronto deberá alzar su aullido y pelear con uñas y dientes por quienes ama;Fantasy;Romance;Klune, T.J.;701;4.36;5;it was amazing;not set;Jul 19, 2021
One of Us Is Lying;This is an alternate cover edition of ASIN B01M98J44U.---One of Us Is Lying is the story of what happens when five strangers walk into detention and only four walk out alive. Everyone is a suspect, and everyone has something to hide.On Monday afternoon, five students at Bayview High walk into detention.Bronwyn, the brain,  is Yale-bound and never breaks a rule.Addy,  the beauty,  is the picture-perfect homecoming princess.Nate, the criminal, is already on probation for dealing.Cooper, the athlete, is the all-star baseball pitcher.And Simon,  the outcast, is the creator of Bayview High's notorious gossip app.Only, Simon never makes it out of that classroom. Before the end of detention, Simon's dead. And according to investigators, his death wasn't an accident. On Monday, he died. But on Tuesday, he'd planned to post juicy reveals about all four of his high-profile classmates, which makes all four of them suspects in his murder. Or are they the perfect patsies for a killer who's still on the loose?Everyone has secrets, right? What really matters is how far you would go to protect them.;Mystery;Young Adult;McManus, Karen;360;3.97;3;liked it;not set;Jul 19, 2021
Circe;In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child--neither powerful like her father nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power: the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts, and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from or with the mortals she has come to love.;Fantasy;Fiction;Miller, Madeline;393;4.25;4;really liked it;not set;Jul 19, 2021
Ravensong;Gordo Livingstone never forgot the lessons carved into his skin. Hardened by the betrayal of a pack who left him behind, he sought solace in the garage in his tiny mountain town, vowing never again to involve himself in the affairs of wolves.It should have been enough.And it was, until the wolves came back, and with them, Mark Bennett. In the end, they faced the beast together as a pack… and won.Now, a year later, Gordo has found himself once again the witch of the Bennett pack. Green Creek has settled after the death of Richard Collins, and Gordo constantly struggles to ignore Mark and the song that howls between them.But time is running out. Something is coming. And this time, it’s crawling from within.Some bonds, no matter how strong, were made to be broken.;Fantasy;Romance;Klune, T.J.;400;4.46;4;really liked it;not set;Jul 19, 2021
Heartstopper: Volume Four;Boy meets boy. Boys become friends. Boys fall in love. The bestselling LGBTQ+ graphic novel about life, love, and everything that happens in between: this is the fourth volume of HEARTSTOPPER, for fans of The Art of Being Normal, Holly Bourne and Love, Simon.Charlie didn't think Nick could ever like him back, but now they're officially boyfriends. Charlie's beginning to feel ready to say those three little words: I love you.Nick's been feeling the same, but he's got a lot on his mind - not least coming out to his dad, and the fact that Charlie might have an eating disorder.As summer turns to autumn and a new school year begins, Charlie and Nick are about to learn a lot about what love means.Heartstopper is about love, friendship, loyalty and mental illness. It encompasses all the small stories of Nick and Charlie's lives that together make up something larger, which speaks to all of us.This is the fourth volume of Heartstopper, which has now been optioned for television by See-Saw Films.;Graphic Novels;Romance;Oseman, Alice;384;4.65;5;it was amazing;not set;Nov 25, 2022
Twisted Love;He has a heart of ice...but for her, he'd burn the world. Alex Volkov is a devil blessed with the face of an angel and cursed with a past he can’t escape. Driven by a tragedy that has haunted him for most of his life, his ruthless pursuits for success and vengeance leave little room for matters of the heart. But when he’s forced to look after his best friend’s sister, he starts to feel something in his chest:A crack.A melt.A fire that could end his world as he knew it.***Ava Chen is a free spirit trapped by nightmares of a childhood she can’t remember.But despite her broken past, she’s never stopped seeing the beauty in the world…including the heart beneath the icy exterior of a man she shouldn’t want. Her brother’s best friend. Her neighbor.Her savior and her downfall.Theirs is a love that was never supposed to happen—but when it does, it unleashes secrets that could destroy them both…and everything they hold dear.;Romance;Contemporary;Huang, Ana;360;3.78;1;did not like it;not set;Aug 16, 2022
